Tour_ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
tour_idynufedne,0.13636363636363635,0.30303030303030304,0.0,0.06060606060606061,0.06060606060606061,0.4393939393939394
tour_id9r3y5moe,0.2179245283018868,0.20566037735849058,0.013207547169811321,0.07924528301886792,0.0830188679245283,0.4009433962264151
tour_idf6itml6g,0.4510769230769231,0.28307692307692306,0.008,0.02523076923076923,0.018461538461538463,0.21415384615384617
tour_id99u4znru,0.04225352112676056,0.024327784891165175,0.002560819462227913,0.22407170294494239,0.3713188220230474,0.3354673495518566
tour_idj4i9urbx,0.03076923076923077,0.006993006993006993,0.0,0.213986013986014,0.45874125874125876,0.2895104895104895
tour_ids94pi2qs,0.024667931688804556,0.009487666034155597,0.0,0.12333965844402277,0.6963946869070209,0.1461100569259962
tour_id9xx2dq4e,0.4510769230769231,0.28307692307692306,0.008,0.02523076923076923,0.018461538461538463,0.21415384615384617
tour_id9q7cbwf5,0.03076923076923077,0.006993006993006993,0.0,0.213986013986014,0.45874125874125876,0.2895104895104895
tour_id28uzu8li,0.2179245283018868,0.20566037735849058,0.013207547169811321,0.07924528301886792,0.0830188679245283,0.4009433962264151
tour_idf7lvpips,0.2388451443569554,0.35958005249343833,0.01837270341207349,0.05511811023622047,0.06561679790026247,0.26246719160104987
tour_id69abaq9f,0.14130434782608695,0.13043478260869565,0.0,0.13043478260869565,0.17391304347826086,0.42391304347826086
tour_id20ne7vgg,0.01929824561403509,0.008771929824561403,0.0017543859649122807,0.2631578947368421,0.5,0.20701754385964913
tour_ida99j69n7,0.20491803278688525,0.3729508196721312,0.01639344262295082,0.040983606557377046,0.036885245901639344,0.32786885245901637
tour_idzwulen6z,0.024390243902439025,0.036585365853658534,0.0,0.08536585365853659,0.6707317073170732,0.18292682926829268
tour_id82x4wwmo,0.20028109627547436,0.46380885453267745,0.02775825720309206,0.044975404075895994,0.04146170063246662,0.22171468728039354
tour_idlhvaq2mf,0.2388451443569554,0.35958005249343833,0.01837270341207349,0.05511811023622047,0.06561679790026247,0.26246719160104987
tour_id8t7kqb9n,0.4510769230769231,0.28307692307692306,0.008,0.02523076923076923,0.018461538461538463,0.21415384615384617
tour_idrn7vpcu5,0.04225352112676056,0.024327784891165175,0.002560819462227913,0.22407170294494239,0.3713188220230474,0.3354673495518566
